timestamp,test-class,test-method,time,description,result
"2022-04-08 16:05:22.915","acme.testing.anonymous.toolkit.AnonymousToolkitListAllTest","positiveTest",10008,""[1] recordIndex=0, title=Title 1, code=ABC-123, published=true, description=Description 1, link=null, assemblyNotes=Assembly Notes 1, reference=Component 01"","OK"
"2022-04-08 16:05:31.619","acme.testing.anonymous.item.AnonymousToolListAllTest","positiveTest",5648,""[1] recordIndex=0, name=Tool 01, code=ABC-123, technology=Technology 1, description=Description of tool 1, retailPrice=EUR 20.00, link=null, type=TOOL"","OK"
"2022-04-08 16:05:36.161","acme.testing.anonymous.item.AnonymousToolListAllTest","positiveTest",3915,""[2] recordIndex=1, name=Tool 02, code=ABC-123-A, technology=Technology 2, description=Description of tool 2, retailPrice=EUR 40.00, link=https://www.example.com, type=TOOL"","OK"
"2022-04-08 16:05:47.26","acme.testing.administrator.item.AdministratorToolListAllTest","positiveTest",8108,""[1] recordIndex=0, name=Tool 01, code=ABC-123, technology=Technology 1, description=Description of tool 1, retailPrice=EUR 20.00, link=null, type=TOOL"","Cannot find 'By.xpath: //select[@name='list_length']/option[@value='5']'"
"2022-04-08 16:06:03.96","acme.testing.administrator.toolkit.AdministratorToolkitListAllTest","positiveTest",13710,""[1] recordIndex=0, title=Title 1, code=ABC-123, published=true, description=Description 1, link=null, assemblyNotes=Assembly Notes 1, reference=Component 01"","OK"
"2022-04-08 16:06:17.406","acme.testing.patron.item.PatronToolListAllTest","positiveTest",9936,""[1] recordIndex=0, name=Tool 01, code=ABC-123, technology=Technology 1, description=Description of tool 1, retailPrice=EUR 20.00, link=null, type=TOOL"","OK"
"2022-04-08 16:06:23.135","acme.testing.patron.item.PatronToolListAllTest","positiveTest",5173,""[2] recordIndex=1, name=Tool 02, code=ABC-123-A, technology=Technology 2, description=Description of tool 2, retailPrice=EUR 40.00, link=https://www.example.com, type=TOOL"","Cannot find 'By.xpath: //select[@name='list_length']/option[@value='5']'"
"2022-04-08 16:06:39.987","acme.testing.inventor.item.InventorComponentListMineTest","positiveTest",11150,""[1] recordIndex=0, name=Component 02, code=BCD-234-Z, technology=Technology 4, description=Description of component 2, retailPrice=EUR 3.50, link=https://www.example.com, type=COMPONENT"","OK"
"2022-04-08 16:06:54.605","acme.testing.inventor.item.InventorToolListAllTest","positiveTest",11500,""[1] recordIndex=0, name=Tool 01, code=ABC-123, technology=Technology 1, description=Description of tool 1, retailPrice=EUR 20.00, link=null, type=TOOL"","OK"
"2022-04-08 16:07:00.759","acme.testing.inventor.item.InventorToolListAllTest","positiveTest",5332,""[2] recordIndex=1, name=Tool 02, code=ABC-123-A, technology=Technology 2, description=Description of tool 2, retailPrice=EUR 40.00, link=https://www.example.com, type=TOOL"","Cannot find 'By.xpath: //select[@name='list_length']/option[@value='5']'"
"2022-04-08 16:07:18.483","acme.testing.authenticated.item.AuthenticatedToolListAllTest","positiveTest",12007,""[1] recordIndex=0, name=Tool 01, code=ABC-123, technology=Technology 1, description=Description of tool 1, retailPrice=EUR 20.00, link=null, type=TOOL"","OK"
"2022-04-08 16:07:30.35","acme.testing.authenticated.item.AuthenticatedToolListAllTest","positiveTest",11120,""[2] recordIndex=1, name=Tool 02, code=ABC-123-A, technology=Technology 2, description=Description of tool 2, retailPrice=EUR 40.00, link=https://www.example.com, type=TOOL"","OK"
"2022-04-08 16:07:45.816","acme.testing.authenticated.toolkit.AuthenticatedToolkitListAllTest","positiveTest",12503,""[1] recordIndex=0, title=Title 1, code=ABC-123, published=true, description=Description 1, link=null, assemblyNotes=Assembly Notes 1, reference=Component 01"","OK"
"2022-04-08 16:08:06.047","acme.testing.SignUpTest","positiveSignUp",17029,""[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com, phone=Cash & Carry, Co"","OK"
"2022-04-08 16:08:25.098","acme.testing.SignUpTest","positiveSignUp",18431,""[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com, phone=Cash & Carry, Co"","OK"
