timestamp,test-class,test-method,time,description,result
"2022-04-23 17:41:41.356","acme.testing.any.chirp.AnyChirpListRecentTest","positiveTest",3965,""[1] recordIndex=0, title=Title 3, creationMoment=2022/03/23 20:00, author=Monica"","OK"
"2022-04-23 17:41:44.002","acme.testing.any.chirp.AnyChirpListRecentTest","positiveTest",2079,""[2] recordIndex=1, title=Title 4, creationMoment=2022/04/13 00:00, author=Pepa"","OK"
"2022-04-23 17:41:50.883","acme.testing.any.item.AnyItemListPublishedTest","positiveTest",5062,""[1] recordIndex=0, name=Tool 01, code=ABC-123, technology=Technology 1, description=Description of tool 1, retailPrice=EUR 20.00, link=null, type=TOOL"","OK"
"2022-04-23 17:41:54.823","acme.testing.any.item.AnyItemListPublishedTest","positiveTest",3434,""[2] recordIndex=1, name=Component 01, code=BCD-234, technology=Technology 3, description=Description of component 1, retailPrice=EUR 5.00, link=null, type=COMPONENT"","OK"
"2022-04-23 17:41:56.529","acme.testing.any.toolkit.AnyToolkitListTest","positiveTest",7,""[1] recordIndex=0, title=Assembly Notes 1, code=ABC-123, description=Description 1, name=null, ToolkitId=true, price=Title 1, assemblyNotes=Component 01, link=19, published=EUR 100.00"","No ParameterResolver registered for parameter [final java.lang.String id] in method [public void acme.testing.any.toolkit.AnyToolkitListTest.positiveTest(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)]."
"2022-04-23 17:42:11.808","acme.testing.SignUpTest","positiveSignUp",13581,""[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com, phone=Cash & Carry, Co"","OK"
"2022-04-23 17:42:25.046","acme.testing.SignUpTest","positiveSignUp",12825,""[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com, phone=Cash & Carry, Co"","OK"
"2022-04-23 17:42:39.344","acme.testing.SignUpTest","positiveSignUp",13848,""[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es, phone=Networks, Inc."","OK"
"2022-04-23 17:42:52.741","acme.testing.SignUpTest","positiveSignUp",12893,""[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com, phone=Networks, Inc."","OK"
"2022-04-23 17:43:06.021","acme.testing.SignUpTest","positiveSignUp",12825,""[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw, phone=Baby Care, GmbH"","OK"
"2022-04-23 17:43:19.301","acme.testing.SignUpTest","positiveSignUp",12784,""[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name, phone=Baby Care, GmbH"","OK"
"2022-04-23 17:43:32.476","acme.testing.SignUpTest","positiveSignUp",12736,""[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com, phone=Like children"","OK"
"2022-04-23 17:43:46.128","acme.testing.SignUpTest","positiveSignUp",13221,""[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com, phone=Good at WIS development"","OK"
"2022-04-23 17:43:59.459","acme.testing.SignUpTest","positiveSignUp",12800,""[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com, phone=Good at playing the piano"","OK"
"2022-04-23 17:44:12.597","acme.testing.SignUpTest","positiveSignUp",12684,""[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de, phone=N/A"","OK"
"2022-04-23 17:44:25.893","acme.testing.SignUpTest","positiveSignUp",12873,""[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com, phone=Like spiders"","OK"
"2022-04-23 17:44:39.002","acme.testing.SignUpTest","positiveSignUp",12636,""[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com, phone=Java EE, HTML, CSS, JavaScript, JSP"","OK"
"2022-04-23 17:44:43.752","acme.testing.any.userAccount.AnyUserAccountListTest","positiveTest",3087,""[1] recordIndex=0, roleList=Inventor, name=Inventor, surname=Two, email=inventor2@mail.com"","Expected value 'inventor2@mail.com' in input box 'identity.surname', but 'Two' was found"
"2022-04-23 17:44:46.909","acme.testing.any.userAccount.AnyUserAccountListTest","positiveTest",2693,""[2] recordIndex=1, roleList=Inventor, name=Inventor, surname=One, email=inventor1@mail.com"","Expected value 'inventor1@mail.com' in input box 'identity.surname', but 'One' was found"
"2022-04-23 17:44:49.976","acme.testing.any.userAccount.AnyUserAccountListTest","positiveTest",2610,""[3] recordIndex=2, roleList=Patron, name=Patron, surname=One, email=patron1@mail.com"","Expected value 'patron1@mail.com' in input box 'identity.surname', but 'One' was found"
"2022-04-23 17:44:53.129","acme.testing.any.userAccount.AnyUserAccountListTest","positiveTest",2685,""[4] recordIndex=3, roleList=Patron, name=Patron, surname=Two, email=patron2@mail.com"","Expected value 'patron2@mail.com' in input box 'identity.surname', but 'Two' was found"
